t_ms,qdot_cmd,qdot_simu
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0.05,0
7,0.05,0
8,0.05,0.0124636
9,0.05,0.0248211
10,0.05,0.0372849
11,0.05,0.0437183
12,0.05,0.0468643
13,0.05,0.048355
14,0.05,0.0492482
15,0.05,0.049643
16,0.05,0.0498264
17,0.05,0.0499232
18,0.05,0.0499575
19,0.05,0.0498797
20,0.05,0.0499765
21,0.05,0.0500716
22,0.05,0.0499282
23,0.05,0.0499931
24,0.05,0.0499761
25,0.05,0.0499271
26,0.05,0.0499759
27,0.05,0.0500246
28,0.05,0.0500718
29,0.05,0.0499763
30,0.05,0.0500235
31,0.05,0.049928
32,0.05,0.0499929
33,0.05,0.0499278
34,0.05,0.0499764
35,0.05,0.0499581
36,0.05,0.0501385
37,0.05,0.0499274
38,0.05,0.0499762
39,0.05,0.0499273
40,0.05,0.0499934
41,0.05,0.0501211
42,0.05,0.0499099
43,0.05,0.049994
44,0.05,0.0499275
45,0.05,0.0501206
