t_ms,joint,qdot_cmd,qdot_simu
2,2,0.1,-8.94062e-05
3,2,0.1,0.000178799
4,2,0.1,0.0147227
5,2,0.1,0.031234
6,2,0.1,0.0489946
7,2,0.1,0.0676515
8,2,0.1,0.0838651
9,2,0.1,0.0918236
10,2,0.1,0.0959079
11,2,0.1,0.0981684
12,2,0.1,0.0990041
13,2,0.1,0.0991841
14,2,0.1,0.0997219
15,2,0.1,0.099747
16,2,0.1,0.100047
17,2,0.1,0.100078
18,2,0.1,0.0999897
19,2,0.1,0.10014
20,2,0.1,0.0998661
21,2,0.1,0.100077
22,2,0.1,0.100108
23,2,0.1,0.100079
24,2,0.1,0.100015
25,2,0.1,0.100076
26,2,0.1,0.100107
27,2,0.1,0.100078
28,2,0.1,0.10002
29,2,0.1,0.100225
30,2,0.1,0.0999867
31,2,0.1,0.100048
32,2,0.1,0.100079
33,2,0.1,0.10011
34,2,0.1,0.100167
35,2,0.1,0.100106
36,2,0.1,0.100019
37,2,0.1,0.100051
38,2,0.1,0.100105
39,2,0.1,0.100196
40,2,0.1,0.0999888
41,2,0.1,0.100109
42,2,0.1,0.0998705
43,2,0.1,0.100196
44,2,0.1,0.100018
45,2,0.1,0.100049
46,2,0.1,0.10011
47,2,0.1,0.100022
48,2,0.1,0.100016
49,2,0.1,0.100168
50,2,0.1,0.0999595
51,2,0.1,0.100111
52,2,0.1,0.100046
53,2,0.1,0.100017
54,2,0.1,0.100079
55,2,0.1,0.09996
56,2,0.1,0.100051
57,2,0.1,0.100047
58,2,0.1,0.100169
59,2,0.1,0.100109
60,2,0.1,0.0999903
61,2,0.1,0.100016
62,2,0.1,0.100137
63,2,0.1,0.100019
64,2,0.1,0.10014
65,2,0.1,0.100141
66,2,0.1,0.100226
67,2,0.1,0.100048
68,2,0.1,0.10005
69,2,0.1,0.100019
70,2,0.1,0.100082
71,2,0.1,0.100078
72,2,0.1,0.100108
73,2,0.1,0.100051
74,2,0.1,0.10014
75,2,0.1,0.100078
76,2,0.1,0.0999293
77,2,0.1,0.100049
78,2,0.1,0.100052
79,2,0.1,0.0999927
80,2,0.1,0.10023
81,2,0.1,0.100048
82,2,0.1,0.10002
83,2,0.1,0.100023
84,2,0.1,0.100022
85,2,0.1,0.0999881
86,2,0.1,0.100143
87,2,0.1,0.100082
88,2,0.1,0.099991
89,2,0.1,0.100079
90,2,0.1,0.100051
91,2,0.1,0.10011
92,2,0.1,0.100173
93,2,0.1,0.100054
94,2,0.1,0.10014
95,2,0.1,0.10017
96,2,0.1,0.0999922
97,2,0.1,0.100052
98,2,0.1,0.100055
99,2,0.1,0.100051
100,2,0.1,0.10017
101,2,0.1,0.100052
