t_us,joint,qdot_cmd,qdot_simu
11026,4,0.5,0
31577,4,0.5,0.468665
61899,4,0.5,0.498956
101906,4,0.5,0.499905
126768,4,0.5,0.499894
162287,4,0.5,0.49991
177448,4,0.5,0.499914
217440,4,0.5,0.499921
244278,4,0.5,0.499906
280252,4,0.5,0.499899
295364,4,0.5,0.499905
335366,4,0.5,0.499914
361414,4,0.5,0.499911
395831,4,0.5,0.499902
411070,4,0.5,0.499902
452515,4,0.5,0.499961
481734,4,0.5,0.499875
513999,4,0.5,0.499881
533516,4,0.5,0.499905
573878,4,0.5,0.499905
612457,4,0.5,0.499884
628575,4,0.5,0.499952
664324,4,0.5,0.499923
702212,4,0.5,0.499893
727352,4,0.5,0.499851
762171,4,0.5,0.499958
777430,4,0.5,0.499887
818785,4,0.5,0.499929
844951,4,0.5,0.499923
878488,4,0.5,0.499911
894646,4,0.5,0.499905
934812,4,0.5,0.499946
965285,4,0.5,0.499923
980579,4,0.5,0.499905
1012883,4,0.5,0.499899
1053151,4,0.5,0.499929
1079214,4,0.5,0.499923
1114221,4,0.5,0.499857
1129411,4,0.5,0.499911
1169672,4,0.5,0.499905
1200714,4,0.5,0.499911
1230674,4,0.5,0.499929
1246846,4,0.5,0.499893
1286561,4,0.5,0.499917
1312185,4,0.5,0.499905
1347805,4,0.5,0.499905
1362030,4,0.5,0.499905
1403431,4,0.5,0.499905
1428425,4,0.5,0.499917
1462675,4,0.5,0.49994
1478919,4,0.5,0.499929
1519123,4,0.5,0.499893
1545240,4,0.5,0.499905
1581029,4,0.5,0.499893
1596282,4,0.5,0.49994
1636602,4,0.5,0.49994
1662963,4,0.5,0.499917
1697894,4,0.5,0.499893
1712059,4,0.5,0.499881
1753538,4,0.5,0.499905
1777548,4,0.5,0.499917
1812438,4,0.5,0.499929
1828806,4,0.5,0.499893
1869993,4,0.5,0.499917
1896087,4,0.5,0.49994
1930878,4,0.5,0.49994
1944969,4,0.5,0.499905
1985949,4,0.5,0.499917
2011079,4,0.5,0.499917
2046990,4,0.5,0.499881
2062062,4,0.5,0.49994
2102207,4,0.5,0.499929
2132469,4,0.5,0.499905
2162940,4,0.5,0.499917
2178003,4,0.5,0.499893
2218150,4,0.5,0.499905
2248896,4,0.5,0.499893
2279652,4,0.5,0.499893
2293792,4,0.5,0.499869
2334977,4,0.5,0.499905
2361104,4,0,0.499893
2396861,4,0,-0.00349209
2411016,4,0,-0.00374237
2452314,4,0,-0.00362319
2482615,4,0,-0.00349209
2512644,4,0,-0.00338482
2533208,4,0,-0.00330139
2568947,4,0,-0.00315837
2594000,4,0,-0.00308686
2628865,4,0,-0.00299151
2644113,4,0,-0.00287233
2685320,4,0,-0.0027889
2715748,4,0,-0.00271739
2745564,4,0,-0.00263396
2759744,4,0,-0.0025267
2800034,4,0,-0.00245519
2831633,4,0,-0.00237176
2862584,4,0,-0.00228833
2877812,4,0,-0.00224066
2914334,4,0,-0.00213339
2943468,4,0,-0.00208572
2979265,4,0,-0.00200229
2995497,4,0,-0.00193078
3035605,4,0,-0.0018831
3066010,4,0,-0.00183543
3095537,4,0,-0.00177584
3111781,4,0,-0.00170433
3151852,4,0,-0.00163282
3176746,4,0,-0.00158514
3212398,4,0,-0.0014898
3226552,4,0,-0.00150172
3266660,4,0,-0.00143021
3298106,4,0,-0.00139445
3328552,4,0,-0.00134678
3342652,4,0,-0.0012991
3385011,4,0,-0.00125143
3414329,4,0,-0.00121568
3445699,4,0,-0.00119184
3462016,4,0,-0.00117992
3501950,4,0,-0.00109649
